conflict_id,constraint_id,constraint_key,constraint_name,subject_org_id,object_org_id,month,relation_a,relation_b,edge_ids_a,edge_ids_b,final_status,conflict_action,expected_action,patecon_confidence,source_weighted_confidence,violation_rate,auto_filter_status,candidate_level,reason,action,check_action,triggered_constraints,manual_is_true_conflict,manual_note
C_000000766,LLM_MUTEX_0009,03_11_overlap,03_11_overlap,ORG_000014,ORG_000015,2023-02,03,11,E_000040898,E_000040904,review_only,review,review,0.72336,0.720119,0.27664,review,weak_candidate,表达合作意愿与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,03_11_overlap,,
C_000000361,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000214,ORG_000013,2023-02,04,11,E_000053837,E_000053841,review_only,review,review,0.719888,0.716892,0.280112,review,weak_candidate,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,04_11_overlap,,
C_000004752,LLM_MUTEX_0007,04_19_overlap,04_19_overlap,ORG_000021,ORG_000050,2023-03,04,19,E_000080628,E_000080632,review_only,review,mark_mixed,0.719416,0.721743,0.280584,review,weak_candidate,协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,review,review,04_19_overlap,,
C_000001145,LLM_MUTEX_0006,05_11_overlap,05_11_overlap,ORG_012434,ORG_000001,2023-03,05,11,E_000111838,E_000111839,review_only,review,review,0.712369,0.710554,0.287631,review,weak_candidate,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,05_11_overlap,,
C_000005152,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000001,ORG_000100,2023-03,04,11,E_000074395,E_000074400,review_only,review,review,0.719888,0.716892,0.280112,review,weak_candidate,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,04_11_overlap,,
C_000005008,LLM_MUTEX_0002,08_19_overlap,08_19_overlap,ORG_000019,ORG_000039,2023-03,08,19,E_000080198,E_000080199,review_only,review,mark_mixed_or_downgrade,0.715782,0.715679,0.284218,review,strong_candidate,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,review,review,08_19_overlap,,
C_000001733,LLM_MUTEX_0006,05_11_overlap,05_11_overlap,ORG_013388,ORG_000001,2023-02,05,11,E_000070615,E_000070618,review_only,review,review,0.712369,0.710554,0.287631,review,weak_candidate,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,05_11_overlap,,
C_000006146,LLM_MUTEX_0007,04_19_overlap,04_19_overlap,ORG_000100,ORG_000003,2023-01,04,19,E_000012874,E_000012881,review_only,review,mark_mixed,0.719416,0.721743,0.280584,review,weak_candidate,协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,review,review,04_19_overlap,,
C_000006473,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000001,ORG_000045,2023-01,04,11,E_000000239,E_000000240,review_only,review,review,0.719888,0.716892,0.280112,review,weak_candidate,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,04_11_overlap,,
C_000001502,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_013525,ORG_013526,2023-03,04,11,E_000115174,E_000115176,review_only,review,review,0.719888,0.716892,0.280112,review,weak_candidate,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,04_11_overlap,,
C_000003662,LLM_MUTEX_0009,03_11_overlap,03_11_overlap,ORG_000073,ORG_000007,2023-03,03,11,E_000087092,E_000087097,review_only,review,review,0.72336,0.720119,0.27664,review,weak_candidate,表达合作意愿与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,03_11_overlap,,
C_000007279,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000001,ORG_000165,2023-01,04,11,E_000000507,E_000000509,review_only,review,review,0.719888,0.716892,0.280112,review,weak_candidate,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,04_11_overlap,,
C_000004555,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000222,ORG_000040,2023-02,04,11,E_000054199,E_000054201,review_only,review,review,0.719888,0.716892,0.280112,review,weak_candidate,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,04_11_overlap,,
C_000004557,LLM_MUTEX_0007,04_19_overlap,04_19_overlap,ORG_000274,ORG_000035,2023-02,04,19,E_000055210,E_000055212,review_only,review,mark_mixed,0.719416,0.721743,0.280584,review,weak_candidate,协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,review,review,04_19_overlap,,
C_000008210,LLM_MUTEX_0007,04_19_overlap,04_19_overlap,ORG_000003,ORG_000238,2023-04,04,19,E_000118853,E_000118856,review_only,review,mark_mixed,0.719416,0.721743,0.280584,review,weak_candidate,协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,review,review,04_19_overlap,,
C_000005712,LLM_MUTEX_0007,04_19_overlap,04_19_overlap,ORG_000006,ORG_000015,2023-02,04,19,E_000038591,E_000038594,review_only,review,mark_mixed,0.719416,0.721743,0.280584,review,weak_candidate,协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,review,review,04_19_overlap,,
C_000001791,LLM_MUTEX_0006,05_11_overlap,05_11_overlap,ORG_000116,ORG_012434,2023-01,05,11,E_000013711,E_000013712,review_only,review,review,0.712369,0.710554,0.287631,review,weak_candidate,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,05_11_overlap,,
C_000003873,LLM_MUTEX_0003,07_19_overlap,07_19_overlap,ORG_000019,ORG_000001,2023-03,07,19,E_000080116,E_000080123,review_only,review,mark_mixed_or_downgrade,0.713936,0.713817,0.286064,review,strong_candidate,提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,review,review,07_19_overlap,,
C_000003885,LLM_MUTEX_0007,04_19_overlap,04_19_overlap,ORG_000019,ORG_000003,2023-03,04,19,E_000080127,E_000080137,review_only,review,mark_mixed,0.719416,0.721743,0.280584,review,weak_candidate,协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,review,review,04_19_overlap,,
C_000003210,LLM_MUTEX_0006,05_11_overlap,05_11_overlap,ORG_000036,ORG_000075,2023-03,05,11,E_000083168,E_000083172,review_only,review,review,0.712369,0.710554,0.287631,review,weak_candidate,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,05_11_overlap,,
C_000001430,LLM_MUTEX_0001,08_17_overlap,08_17_overlap,ORG_013419,ORG_013230,2023-02,08,17,E_000071201,E_000071205,review_only,review,mark_mixed_or_downgrade,0.691995,0.690783,0.308005,weak_review,strong_candidate,让步妥协与强制行动通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,review,review,08_17_overlap,,
C_000003027,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000012,ORG_000001,2023-03,04,11,E_000077887,E_000077892,review_only,review,review,0.719888,0.716892,0.280112,review,weak_candidate,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,04_11_overlap,,
C_000004310,LLM_MUTEX_0004,06_19_overlap,06_19_overlap,ORG_000012,ORG_000003,2023-02,06,19,E_000040210,E_000040217,enabled_for_mark_mixed,mark_mixed,mark_mixed_or_downgrade,0.74113,0.73924,0.25887,strong_soft,strong_candidate,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,mark_complex,mark_complex,06_19_overlap,,
C_000003708,LLM_MUTEX_0002,08_19_overlap,08_19_overlap,ORG_000007,ORG_000025,2023-04,08,19,E_000119898,E_000119901,review_only,review,mark_mixed_or_downgrade,0.715782,0.715679,0.284218,review,strong_candidate,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,review,review,08_19_overlap,,
C_000000995,LLM_MUTEX_0002,08_19_overlap,08_19_overlap,ORG_013525,ORG_013230,2023-02,08,19,E_000071872,E_000071877,review_only,review,mark_mixed_or_downgrade,0.715782,0.715679,0.284218,review,strong_candidate,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,review,review,08_19_overlap,,
C_000006054,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000043,ORG_000229,2023-04,04,11,E_000127543,E_000127544,review_only,review,review,0.719888,0.716892,0.280112,review,weak_candidate,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,04_11_overlap,,
C_000008889,LLM_MUTEX_0008,04_17_overlap,04_17_overlap,ORG_000016,ORG_006259,2023-02,04,17,E_000041748,E_000041749,review_only,review,mark_mixed,0.71722,0.716729,0.28278,review,weak_candidate,协商磋商与强制行动可能表示复杂关系，通常更适合标记 mixed 或 review。,review,review,04_17_overlap,,
C_000002649,LLM_MUTEX_0006,05_11_overlap,05_11_overlap,ORG_013558,ORG_013388,2023-03,05,11,E_000115942,E_000115943,review_only,review,review,0.712369,0.710554,0.287631,review,weak_candidate,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,05_11_overlap,,
C_000006033,LLM_MUTEX_0007,04_19_overlap,04_19_overlap,ORG_000032,ORG_000001,2023-04,04,19,E_000125924,E_000125928,review_only,review,mark_mixed,0.719416,0.721743,0.280584,review,weak_candidate,协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,review,review,04_19_overlap,,
C_000004862,LLM_MUTEX_0008,04_17_overlap,04_17_overlap,ORG_000021,ORG_000120,2023-03,04,17,E_000080659,E_000080660,review_only,review,mark_mixed,0.71722,0.716729,0.28278,review,weak_candidate,协商磋商与强制行动可能表示复杂关系，通常更适合标记 mixed 或 review。,review,review,04_17_overlap,,
C_000008175,LLM_MUTEX_0001,08_17_overlap,08_17_overlap,ORG_000535,ORG_000031,2023-03,08,17,E_000100043,E_000100044,review_only,review,mark_mixed_or_downgrade,0.691995,0.690783,0.308005,weak_review,strong_candidate,让步妥协与强制行动通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,review,review,08_17_overlap,,
C_000000458,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000097,ORG_000030,2023-01,04,11,E_000012501,E_000012504,review_only,review,review,0.719888,0.716892,0.280112,review,weak_candidate,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,04_11_overlap,,
C_000001453,LLM_MUTEX_0004,06_19_overlap,06_19_overlap,ORG_013599,ORG_000496,2023-01,06,19,E_000036813,E_000036815,enabled_for_mark_mixed,mark_mixed,mark_mixed_or_downgrade,0.74113,0.73924,0.25887,strong_soft,strong_candidate,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,mark_complex,mark_complex,06_19_overlap,,
C_000000331,LLM_MUTEX_0006,05_11_overlap,05_11_overlap,ORG_000079,ORG_000014,2023-03,05,11,E_000087502,E_000087505,review_only,review,review,0.712369,0.710554,0.287631,review,weak_candidate,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,05_11_overlap,,
C_000002934,LLM_MUTEX_0006,05_11_overlap,05_11_overlap,ORG_000003,ORG_000019,2023-04,05,11,E_000118710,E_000118715,review_only,review,review,0.712369,0.710554,0.287631,review,weak_candidate,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,05_11_overlap,,
C_000003245,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000021,ORG_000004,2023-01,04,11,E_000005539,E_000005546,review_only,review,review,0.719888,0.716892,0.280112,review,weak_candidate,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,04_11_overlap,,
C_000007987,LLM_MUTEX_0008,04_17_overlap,04_17_overlap,ORG_000075,ORG_000026,2023-02,04,17,E_000048033,E_000048034,review_only,review,mark_mixed,0.71722,0.716729,0.28278,review,weak_candidate,协商磋商与强制行动可能表示复杂关系，通常更适合标记 mixed 或 review。,review,review,04_17_overlap,,
C_000007349,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000122,ORG_000065,2023-01,04,11,E_000013972,E_000013974,review_only,review,review,0.719888,0.716892,0.280112,review,weak_candidate,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,04_11_overlap,,
C_000007794,LLM_MUTEX_0008,04_17_overlap,04_17_overlap,ORG_000487,ORG_000766,2023-04,04,17,E_000142172,E_000142174,review_only,review,mark_mixed,0.71722,0.716729,0.28278,review,weak_candidate,协商磋商与强制行动可能表示复杂关系，通常更适合标记 mixed 或 review。,review,review,04_17_overlap,,
C_000000319,LLM_MUTEX_0009,03_11_overlap,03_11_overlap,ORG_000001,ORG_000079,2023-02,03,11,E_000037318,E_000037323,review_only,review,review,0.72336,0.720119,0.27664,review,weak_candidate,表达合作意愿与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,03_11_overlap,,
