edge_id,subject_org_id,object_org_id,event_month,relation_type,subject_name,object_name,event_count,source_datasets,icews_event_count,gdelt_event_count,confidence,status,confidence_level,confidence_reason,is_derived_relation,check_action,check_reason,triggered_constraints,manual_is_reasonable,manual_note
E_000256519,ORG_002208,ORG_001441,2023-01,verbal_cooperation,CARTEL,CRIMINAL,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000174780,ORG_000130,ORG_000120,2023-01,material_cooperation,DIRECTOR GENERAL,DEFENSE MINIST,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000122162,ORG_000888,ORG_000928,2023-01,verbal_cooperation,KABUL,CARETAKER GOVERNMENT,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000244494,ORG_000651,ORG_010123,2023-01,verbal_cooperation,VATICAN,JOSEPH ZEN,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000215237,ORG_000132,ORG_000986,2023-01,verbal_conflict,IRELAND,BRUSSELS,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000211020,ORG_000678,ORG_000718,2023-01,material_conflict,SERBIA,PARAMILITARY FORCE,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000188556,ORG_000096,ORG_000011,2023-01,material_cooperation,TAIWAN,MILITARY,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000242394,ORG_000123,ORG_003977,2023-01,verbal_cooperation,DEFENCE MINIST,PROTESTER,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000291411,ORG_000604,ORG_000207,2023-02,material_conflict,KYIV,WASHINGTON,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000256216,ORG_001585,ORG_000037,2023-01,verbal_cooperation,LIMA,CHINA,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000272181,ORG_000039,ORG_000411,2023-02,material_cooperation,PROFESSOR,NETHERLANDS,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000158795,ORG_000025,ORG_002131,2023-01,verbal_cooperation,KING,NAPLES,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000260970,ORG_000838,ORG_000349,2023-01,verbal_cooperation,LITHUANIAN,ROMANIA,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000102637,ORG_000989,ORG_000692,2023-01,verbal_cooperation,ROME,GEORGE W. BUSH,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000228454,ORG_000410,ORG_000019,2023-01,material_conflict,POLICE,DEPUTY,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000209508,ORG_000217,ORG_000732,2023-01,material_cooperation,LONDON,WEST VIRGINIA,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000164948,ORG_003151,ORG_000829,2023-01,verbal_cooperation,ANGUILLA,VILLAGE,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000275368,ORG_000171,ORG_000003,2023-02,material_cooperation,COAST GUARD,GOVERNMENT,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000132780,ORG_003391,ORG_001095,2023-01,material_conflict,BALOCH,CHAMBER,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000147723,ORG_000829,ORG_000040,2023-01,verbal_cooperation,VILLAGE,REUTERS,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000217954,ORG_001346,ORG_000471,2023-01,verbal_cooperation,BOLIVIA,CUBA,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000150771,ORG_000007,ORG_010305,2023-01,verbal_cooperation,COMPANY,CAESAREA,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000205181,ORG_001083,ORG_000157,2023-01,verbal_cooperation,EMPLOYEE,GOVERNANCE,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000169894,ORG_000665,ORG_000113,2023-01,material_cooperation,BEIJING,AFRICA,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000128206,ORG_000185,ORG_000673,2023-01,verbal_cooperation,NEW YORK,INDUSTRY MINIST,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000259587,ORG_000299,ORG_000467,2023-01,verbal_cooperation,SINGAPORE,DENMARK,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000102690,ORG_001006,ORG_000008,2023-01,verbal_cooperation,HAITIAN,COMMUNITY,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000206965,ORG_009856,ORG_001039,2023-01,verbal_cooperation,NEW ZEALANDER,KIEV,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000114007,ORG_000695,ORG_000276,2023-01,verbal_cooperation,BRIGADIER GENERAL,IRAQ,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000277906,ORG_000439,ORG_000364,2023-02,verbal_cooperation,LEBANON,CONGRESS,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000091694,ORG_000693,ORG_000534,2023-01,material_conflict,MALE,JEWISH,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000172141,ORG_004118,ORG_000004,2023-01,verbal_cooperation,ETHNIC MINORITY,PRESIDENT,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000076039,ORG_000215,ORG_000044,2023-01,material_conflict,PUPIL,NIGERIA,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000189377,ORG_000204,ORG_001821,2023-01,verbal_conflict,VIETNAM,SOUTHEAST ASIA,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000139602,ORG_000981,ORG_000037,2023-01,verbal_cooperation,NEPALI,CHINA,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000231974,ORG_000022,ORG_001054,2023-01,verbal_cooperation,COLLEGE,HARYANA,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000200080,ORG_004981,ORG_000829,2023-01,verbal_cooperation,PHETCHABURI,VILLAGE,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000246637,ORG_006334,ORG_000496,2023-01,verbal_cooperation,ASYLUM SEEKER,BULGARIA,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000301017,ORG_006674,ORG_000167,2023-02,verbal_conflict,TRANSPORTADORA DE GAS DEL SUR,BRAZIL,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000290153,ORG_000376,ORG_000236,2023-02,verbal_conflict,OHIO,SCOTTISH,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000141865,ORG_009945,ORG_000004,2023-01,verbal_cooperation,ASSOCIATE JUSTICE,PRESIDENT,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000140591,ORG_001823,ORG_000054,2023-01,material_cooperation,OPERATIVE,CHINESE,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000173947,ORG_000056,ORG_000172,2023-01,material_cooperation,PAKISTAN,KENYA,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000300304,ORG_001660,ORG_001795,2023-02,verbal_cooperation,JUDGE,LAWMAKER,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000249753,ORG_000519,ORG_000334,2023-01,verbal_cooperation,MOSCOW,IRISH,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000271452,ORG_000028,ORG_000406,2023-02,material_cooperation,RUSSIA,KAZAKHSTAN,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000119817,ORG_000238,ORG_001310,2023-01,material_cooperation,INDONESIA,SABAH,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000180773,ORG_000035,ORG_001435,2023-01,material_conflict,ARMY,BALI,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000248055,ORG_000089,ORG_000006,2023-01,material_conflict,JAPAN,STUDENT,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000242207,ORG_000100,ORG_000439,2023-01,verbal_cooperation,BRITISH,LEBANON,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000096293,ORG_000015,ORG_000084,2023-01,verbal_cooperation,GOVERNOR,AIR FORCE,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000231347,ORG_007091,ORG_000060,2023-01,verbal_cooperation,ANJOU,CANADA,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000128875,ORG_000305,ORG_000902,2023-01,verbal_cooperation,GREECE,GOVERNMENT SPOKESMAN,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000201852,ORG_000069,ORG_000244,2023-01,verbal_conflict,PRODUCER,TEXAS,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000276083,ORG_000225,ORG_002174,2023-02,verbal_cooperation,RULING PARTY,ROBERT GABRIEL MUGABE,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000075377,ORG_000169,ORG_000068,2023-01,verbal_cooperation,MEXICO,ISRAELI,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000122771,ORG_001293,ORG_000282,2023-01,verbal_cooperation,PARLIAMENT,FOREIGN SECRETARY,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000132011,ORG_001795,ORG_000065,2023-01,verbal_cooperation,LAWMAKER,DEPUTIES,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000162531,ORG_000568,ORG_000186,2023-01,verbal_cooperation,JAMAICA,ARMENIA,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000225921,ORG_000008,ORG_003347,2023-01,verbal_conflict,COMMUNITY,VADODARA,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000243588,ORG_000360,ORG_000574,2023-01,material_cooperation,SOMALIA,ISLAMIC,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000162400,ORG_000525,ORG_000264,2023-01,verbal_cooperation,FIJI,DEPUTY PRIME MINISTER,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000131848,ORG_001549,ORG_007000,2023-01,material_conflict,WORKER,THIEVES,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000307032,ORG_000054,ORG_001884,2023-02,material_conflict,CHINESE,GANG,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000300813,ORG_003352,ORG_000410,2023-02,material_cooperation,TAOYUAN,POLICE,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000301033,ORG_006997,ORG_001293,2023-02,verbal_cooperation,OPPOSITION LEADER,PARLIAMENT,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000080706,ORG_001022,ORG_000557,2023-01,verbal_cooperation,TOKYO,NORTH KOREA,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
