decision_id,constraint_id,constraint_key,subject_org_id,object_org_id,month,edge_id,relation_type,final_status,update_action,original_confidence,final_confidence,reason,patecon_confidence,source_weighted_confidence,violation_rate,auto_filter_status,candidate_level
D_000000227,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000015,2023-04,E_000122007,05,enabled_for_mark_mixed,mark_mixed,0.5609,0.5609,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000228,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000015,2023-04,E_000122014,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000243,LLM_MUTEX_0004,06_19_overlap,ORG_000015,ORG_000013,2023-01,E_000004216,06,enabled_for_mark_mixed,mark_mixed,1.0,1.0,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000244,LLM_MUTEX_0004,06_19_overlap,ORG_000015,ORG_000013,2023-01,E_000004224,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000253,LLM_MUTEX_0010,05_19_overlap,ORG_000015,ORG_000013,2023-01,E_000004215,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000254,LLM_MUTEX_0010,05_19_overlap,ORG_000015,ORG_000013,2023-01,E_000004224,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000255,LLM_MUTEX_0004,06_19_overlap,ORG_000001,ORG_000014,2023-03,E_000074084,06,enabled_for_mark_mixed,mark_mixed,1.0,1.0,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000256,LLM_MUTEX_0004,06_19_overlap,ORG_000001,ORG_000014,2023-03,E_000074090,19,enabled_for_mark_mixed,mark_mixed,0.75,0.75,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000265,LLM_MUTEX_0010,05_19_overlap,ORG_000001,ORG_000014,2023-03,E_000074083,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000266,LLM_MUTEX_0010,05_19_overlap,ORG_000001,ORG_000014,2023-03,E_000074090,19,enabled_for_mark_mixed,mark_mixed,0.75,0.75,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000331,LLM_MUTEX_0010,05_19_overlap,ORG_000001,ORG_000013,2023-03,E_000074066,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000332,LLM_MUTEX_0010,05_19_overlap,ORG_000001,ORG_000013,2023-03,E_000074078,19,enabled_for_mark_mixed,mark_mixed,0.7109,0.7109,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000335,LLM_MUTEX_0004,06_19_overlap,ORG_000030,ORG_000015,2023-04,E_000125611,06,enabled_for_mark_mixed,mark_mixed,0.6,0.6,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000336,LLM_MUTEX_0004,06_19_overlap,ORG_000030,ORG_000015,2023-04,E_000125615,19,enabled_for_mark_mixed,mark_mixed,0.4693,0.4693,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000339,LLM_MUTEX_0010,05_19_overlap,ORG_000030,ORG_000015,2023-04,E_000125610,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000340,LLM_MUTEX_0010,05_19_overlap,ORG_000030,ORG_000015,2023-04,E_000125615,19,enabled_for_mark_mixed,mark_mixed,0.4693,0.4693,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000343,LLM_MUTEX_0010,05_19_overlap,ORG_000015,ORG_000016,2023-02,E_000041241,05,enabled_for_mark_mixed,mark_mixed,0.7109,0.7109,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000344,LLM_MUTEX_0010,05_19_overlap,ORG_000015,ORG_000016,2023-02,E_000041242,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000355,LLM_MUTEX_0010,05_19_overlap,ORG_000015,ORG_000013,2023-02,E_000041228,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000356,LLM_MUTEX_0010,05_19_overlap,ORG_000015,ORG_000013,2023-02,E_000041233,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000363,LLM_MUTEX_0010,05_19_overlap,ORG_000092,ORG_000014,2023-04,E_000131572,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000364,LLM_MUTEX_0010,05_19_overlap,ORG_000092,ORG_000014,2023-04,E_000131573,19,enabled_for_mark_mixed,mark_mixed,0.5609,0.5609,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000369,LLM_MUTEX_0010,05_19_overlap,ORG_000015,ORG_000052,2023-02,E_000041295,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000370,LLM_MUTEX_0010,05_19_overlap,ORG_000015,ORG_000052,2023-02,E_000041297,19,enabled_for_mark_mixed,mark_mixed,0.5946,0.5946,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000381,LLM_MUTEX_0010,05_19_overlap,ORG_000072,ORG_000113,2023-03,E_000086989,05,enabled_for_mark_mixed,mark_mixed,0.75,0.75,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000382,LLM_MUTEX_0010,05_19_overlap,ORG_000072,ORG_000113,2023-03,E_000086994,19,enabled_for_mark_mixed,mark_mixed,0.4693,0.4693,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000389,LLM_MUTEX_0004,06_19_overlap,ORG_000015,ORG_000013,2023-03,E_000079071,06,enabled_for_mark_mixed,mark_mixed,0.5946,0.5946,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000390,LLM_MUTEX_0004,06_19_overlap,ORG_000015,ORG_000013,2023-03,E_000079077,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000399,LLM_MUTEX_0010,05_19_overlap,ORG_000015,ORG_000013,2023-03,E_000079070,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000400,LLM_MUTEX_0010,05_19_overlap,ORG_000015,ORG_000013,2023-03,E_000079077,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000415,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000004,2023-02,E_000040452,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000416,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000004,2023-02,E_000040456,19,enabled_for_mark_mixed,mark_mixed,0.6,0.6,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000427,LLM_MUTEX_0010,05_19_overlap,ORG_000018,ORG_000183,2023-04,E_000123470,05,enabled_for_mark_mixed,mark_mixed,0.6,0.6,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000428,LLM_MUTEX_0010,05_19_overlap,ORG_000018,ORG_000183,2023-04,E_000123474,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000449,LLM_MUTEX_0010,05_19_overlap,ORG_000137,ORG_000069,2023-01,E_000014585,05,enabled_for_mark_mixed,mark_mixed,0.5609,0.5609,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000450,LLM_MUTEX_0010,05_19_overlap,ORG_000137,ORG_000069,2023-01,E_000014587,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000455,LLM_MUTEX_0010,05_19_overlap,ORG_000030,ORG_000133,2023-02,E_000043839,05,enabled_for_mark_mixed,mark_mixed,0.6,0.6,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000456,LLM_MUTEX_0010,05_19_overlap,ORG_000030,ORG_000133,2023-02,E_000043845,19,enabled_for_mark_mixed,mark_mixed,0.5609,0.5609,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000465,LLM_MUTEX_0010,05_19_overlap,ORG_000137,ORG_000161,2023-02,E_000051422,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000466,LLM_MUTEX_0010,05_19_overlap,ORG_000137,ORG_000161,2023-02,E_000051428,19,enabled_for_mark_mixed,mark_mixed,0.6599,0.6599,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000477,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000030,2023-04,E_000122050,05,enabled_for_mark_mixed,mark_mixed,0.6,0.6,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000478,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000030,2023-04,E_000122057,19,enabled_for_mark_mixed,mark_mixed,0.4693,0.4693,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000509,LLM_MUTEX_0010,05_19_overlap,ORG_000172,ORG_000097,2023-01,E_000015913,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000510,LLM_MUTEX_0010,05_19_overlap,ORG_000172,ORG_000097,2023-01,E_000015918,19,enabled_for_mark_mixed,mark_mixed,0.4693,0.4693,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000535,LLM_MUTEX_0010,05_19_overlap,ORG_000014,ORG_000079,2023-04,E_000122396,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000536,LLM_MUTEX_0010,05_19_overlap,ORG_000014,ORG_000079,2023-04,E_000122401,19,enabled_for_mark_mixed,mark_mixed,0.4693,0.4693,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000565,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000168,2023-03,E_000078356,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000566,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000168,2023-03,E_000078358,19,enabled_for_mark_mixed,mark_mixed,0.4693,0.4693,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000579,LLM_MUTEX_0004,06_19_overlap,ORG_000014,ORG_000001,2023-01,E_000003891,06,enabled_for_mark_mixed,mark_mixed,0.6599,0.6599,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000580,LLM_MUTEX_0004,06_19_overlap,ORG_000014,ORG_000001,2023-01,E_000003895,19,enabled_for_mark_mixed,mark_mixed,0.4693,0.4693,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000589,LLM_MUTEX_0010,05_19_overlap,ORG_000014,ORG_000001,2023-01,E_000003890,05,enabled_for_mark_mixed,mark_mixed,0.75,0.75,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000590,LLM_MUTEX_0010,05_19_overlap,ORG_000014,ORG_000001,2023-01,E_000003895,19,enabled_for_mark_mixed,mark_mixed,0.4693,0.4693,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000597,LLM_MUTEX_0010,05_19_overlap,ORG_000098,ORG_000015,2023-01,E_000012653,05,enabled_for_mark_mixed,mark_mixed,0.7446,0.7446,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000598,LLM_MUTEX_0010,05_19_overlap,ORG_000098,ORG_000015,2023-01,E_000012658,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000599,LLM_MUTEX_0004,06_19_overlap,ORG_000013,ORG_000001,2023-02,E_000040438,06,enabled_for_mark_mixed,mark_mixed,0.4693,0.4693,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000600,LLM_MUTEX_0004,06_19_overlap,ORG_000013,ORG_000001,2023-02,E_000040443,19,enabled_for_mark_mixed,mark_mixed,0.6,0.6,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000609,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000001,2023-02,E_000040437,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
