edge_id,subject_org_id,object_org_id,event_month,relation_type,subject_name,object_name,event_count,source_datasets,icews_event_count,gdelt_event_count,confidence,status,confidence_level,confidence_reason,is_derived_relation,_subject,_object,_relation,_month,_subject_name,_object_name,_original_confidence,original_confidence,final_confidence,is_mutex_triggered,after_check_status,update_action,update_reason,triggered_constraint_ids,triggered_constraint_keys,triggered_mutex_relations,check_action,check_reason,triggered_constraints,relation_type_label,event_count_num
E_000021496,ORG_000474,ORG_000130,2023-01,4,BRITAIN,IRANIAN,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000474,ORG_000130,04,2023-01,BRITAIN,IRANIAN,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,协商磋商,4
E_000021495,ORG_000474,ORG_000082,2023-01,4,BRITAIN,SECRETARY OF STATE,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000474,ORG_000082,04,2023-01,BRITAIN,SECRETARY OF STATE,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,协商磋商,4
E_000021515,ORG_000477,ORG_000061,2023-01,2,SOUTH CAROLINA,HIGH COURT,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000477,ORG_000061,02,2023-01,SOUTH CAROLINA,HIGH COURT,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,呼吁请求,4
E_000021492,ORG_000474,ORG_000022,2023-01,4,BRITAIN,REUTERS,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000474,ORG_000022,04,2023-01,BRITAIN,REUTERS,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,协商磋商,4
E_000021491,ORG_000474,ORG_000015,2023-01,4,BRITAIN,UKRAINE,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000474,ORG_000015,04,2023-01,BRITAIN,UKRAINE,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,协商磋商,4
E_000021490,ORG_000472,ORG_000031,2023-01,4,PARTY MEMBER,PAKISTAN,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000472,ORG_000031,04,2023-01,PARTY MEMBER,PAKISTAN,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,协商磋商,4
E_000021585,ORG_000479,ORG_000536,2023-01,19,SOMALIA,AL QAEDA,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000479,ORG_000536,19,2023-01,SOMALIA,AL QAEDA,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,军事冲突,4
E_000021578,ORG_000479,ORG_000119,2023-01,3,SOMALIA,HASSAN,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000479,ORG_000119,03,2023-01,SOMALIA,HASSAN,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,表达合作意愿,4
E_000021576,ORG_000479,ORG_000108,2023-01,11,SOMALIA,SECURITY FORCE,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000479,ORG_000108,11,2023-01,SOMALIA,SECURITY FORCE,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,反对批评,4
E_000021575,ORG_000479,ORG_000067,2023-01,19,SOMALIA,COMMANDER,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000479,ORG_000067,19,2023-01,SOMALIA,COMMANDER,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,军事冲突,4
E_000021573,ORG_000479,ORG_000056,2023-01,4,SOMALIA,AMBASSADOR,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000479,ORG_000056,04,2023-01,SOMALIA,AMBASSADOR,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,协商磋商,4
E_000021557,ORG_000478,ORG_002046,2023-01,4,LATVIA,NON RESIDENT,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000478,ORG_002046,04,2023-01,LATVIA,NON RESIDENT,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,协商磋商,4
E_000021548,ORG_000478,ORG_000415,2023-01,1,LATVIA,US AMBASSADOR,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000478,ORG_000415,01,2023-01,LATVIA,US AMBASSADOR,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,公开声明,4
E_000021544,ORG_000478,ORG_000270,2023-01,3,LATVIA,FINLAND,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000478,ORG_000270,03,2023-01,LATVIA,FINLAND,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,表达合作意愿,4
E_000021448,ORG_000468,ORG_000352,2023-01,4,ARIZONA,ACADEMICS,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000468,ORG_000352,04,2023-01,ARIZONA,ACADEMICS,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,协商磋商,4
E_000021414,ORG_000465,ORG_002213,2023-01,4,CONVICTS,JAMAICAN,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000465,ORG_002213,04,2023-01,CONVICTS,JAMAICAN,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,协商磋商,4
E_000021413,ORG_000465,ORG_000561,2023-01,2,CONVICTS,MILITARY OFFICIAL,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000465,ORG_000561,02,2023-01,CONVICTS,MILITARY OFFICIAL,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,呼吁请求,4
E_000021411,ORG_000465,ORG_000248,2023-01,1,CONVICTS,NATIONAL SECURITY COUNCIL,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000465,ORG_000248,01,2023-01,CONVICTS,NATIONAL SECURITY COUNCIL,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,公开声明,4
E_000021410,ORG_000465,ORG_000013,2023-01,1,CONVICTS,RUSSIA,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000465,ORG_000013,01,2023-01,CONVICTS,RUSSIA,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,公开声明,4
E_000021406,ORG_000465,ORG_000005,2023-01,8,CONVICTS,PRISON,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000465,ORG_000005,08,2023-01,CONVICTS,PRISON,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,让步妥协,4
